Guardian,Người Giám Hộ
Education Settings,Cấu Hình Giáo Dục
Student,Học Viên
Student Sibling,Anh Chị Em Học Viên
Program Enrollment,Đăng Ký Khóa Học
Fee Schedule,Lịch Thu Học Phí
Fee Invoice,Hóa Đơn Học Phí
Fee Payment,Phiếu Thu Học Phí
Fee Payment Reference,Hóa Đơn Thanh Toán
Draft,Bản nháp
Invoice Pending,Chờ xuất hóa đơn
Invoiced,Đã xuất hóa đơn
Cancelled,Đã hủy
Unpaid,Chưa thanh toán
Partially Paid,Thanh toán một phần
Paid,Đã thanh toán
Overdue,Quá hạn
Cash,Tiền mặt
Bank Transfer,Chuyển khoản
Card,Thẻ ngân hàng
Other,Khác
